id;serial_number;model;weight_limit;battery_capacity;state;created_by;created_date;last_modified_by;last_modified_date
1;violet asynchronous;Middleweight;eyeballs;lime;LOADED;Concrete Account Cotton;2022-10-16T08:48:22;IB;2022-10-16T05:58:25
2;Berkshire;Middleweight;Representative mindshare Federation;Marketing Principal Forks;RETURNING;SCSI Implementation wireless;2022-10-16T13:56:43;primary invoice Mouse;2022-10-15T15:49:44
3;program;Cruiserweight;Franc killer Investment;microchip;LOADING;Exclusive Account;2022-10-16T10:26:26;cross-platform Facilitator;2022-10-16T13:31:48
4;Communications;Heavyweight;Gorgeous;Metal Granite;LOADING;Books;2022-10-16T03:52:12;structure Tools dynamic;2022-10-16T14:03:57
5;Salad calculating Facilitator;Cruiserweight;drive contextually-based;RSS;RETURNING;Granite Garden;2022-10-16T13:28:46;neutral;2022-10-16T05:09:58
6;port infrastructures Indian;Heavyweight;Buckinghamshire;protocol Thailand;IDLE;copying Technician Soft;2022-10-16T02:30:02;Hills contextually-based auxiliary;2022-10-16T03:52:57
7;Unit;Heavyweight;Grocery up International;copying seize;LOADED;Balboa Fresh;2022-10-16T08:02:22;Track Handmade Fantastic;2022-10-15T20:43:24
8;empowering;Lightweight;paradigms invoice transmit;quantify;LOADING;Jewelery input complexity;2022-10-16T11:13:03;compressing;2022-10-15T18:21:16
9;RAM Regional;Lightweight;array black primary;static Soap;RETURNING;Gloves;2022-10-15T19:36:05;deposit;2022-10-15T15:55:53
10;withdrawal;Cruiserweight;SAS transparent;Ball payment Towels;LOADED;human-resource EXE Team-oriented;2022-10-16T15:15:26;Shoes back Dakota;2022-10-16T14:53:15
